LoanID,CustomerID,LoanType, LoanAmount ,InterestRate,LoanStartDate,LoanEndDate,,
700,100,Home," 264,621.00 ",2.89,12/01/2023,06/04/2030,,
244,103,Personal," 151,297.00 ",2.6,23/09/2021,28/12/2028,,
487,107,Home," 295,787.00 ",5.3,30/10/2021,30/06/2027,,
1229,107,Personal," 217,060.00 ",10.88,12/04/2024,01/01/2026,,
1170,108,Home," 435,135.00 ",5.94,08/09/2021,20/07/2028,,
1782,112,Home," 181,879.00 ",12.49,02/05/2024,12/08/2027,,
269,115,Home," 61,753.00 ",11.59,30/11/2023,13/06/2025,,
1116,117,Home," 119,272.00 ",11.5,02/10/2021,06/07/2025,,
1265,118,Education," 279,423.00 ",7.82,27/09/2023,09/06/2029,,
1110,118,Home," 63,302.00 ",9.63,26/09/2021,20/11/2027,,
2068,121,Home," 263,207.00 ",4.43,23/10/2023,19/04/2030,,
1385,122,Home," 478,228.00 ",6.66,05/04/2023,11/02/2028,,
597,125,Education," 245,540.00 ",5.28,17/07/2022,25/06/2026,,
1242,125,Personal," 48,381.00 ",9.42,16/04/2022,15/08/2027,,
999,126,Home," 12,265.00 ",10.08,15/04/2023,23/03/2026,,
97,129,Home," 391,011.00 ",10.55,01/11/2023,16/06/2026,,
447,129,Home," 4,290.00 ",9.7,06/05/2021,21/11/2027,,
561,131,Car," 483,945.00 ",6.06,21/02/2024,21/03/2027,,
1992,134,Personal," 210,460.00 ",8.1,10/03/2024,23/12/2028,,
1373,135,Education," 279,079.00 ",9.16,01/05/2023,09/04/2027,,
612,137,Personal," 272,246.00 ",8.75,07/03/2021,05/05/2027,,
718,141,Home," 395,696.00 ",4.54,16/06/2023,16/12/2027,,
1956,143,Education," 225,467.00 ",3.4,26/12/2023,19/10/2027,,
1587,149,Car," 429,991.00 ",4.84,29/06/2020,13/11/2029,,
1605,149,Education," 407,287.00 ",6.37,15/10/2021,10/10/2026,,
1288,162,Car," 426,371.00 ",8.17,28/04/2021,23/07/2029,,
2083,166,Education," 258,761.00 ",9.34,06/08/2021,21/01/2027,,
1881,171,Education," 341,870.00 ",2.75,28/05/2021,07/10/2028,,
1366,172,Car," 402,394.00 ",6.97,01/12/2023,06/03/2027,,
1617,175,Car," 395,820.00 ",5.7,31/03/2024,18/06/2029,,
1744,176,Education," 360,466.00 ",8.27,13/10/2021,01/08/2027,,
2458,178,Car," 168,857.00 ",11.61,20/01/2022,15/12/2025,,
2223,179,Car," 278,701.00 ",4.14,18/08/2021,20/12/2028,,
2448,179,Education," 116,410.00 ",11.22,23/07/2020,12/10/2028,,
942,181,Education," 489,265.00 ",9.52,14/06/2023,04/03/2027,,
1595,188,Home," 488,380.00 ",11.92,26/07/2020,13/03/2030,,
865,189,Personal," 341,100.00 ",11.85,29/11/2022,25/08/2029,,
1886,190,Home," 19,984.00 ",8.92,05/01/2023,11/01/2026,,
935,191,Personal," 498,637.00 ",8.7,09/08/2022,10/06/2026,,
2459,191,Car," 104,687.00 ",6.59,06/04/2023,25/03/2026,,
1736,193,Personal," 482,937.00 ",4.3,27/01/2022,14/03/2027,,
1779,194,Home," 222,145.00 ",5.12,17/03/2023,16/10/2029,,
1122,198,Education," 205,900.00 ",4.48,18/04/2023,22/01/2027,,
929,201,Home," 154,977.00 ",12.39,21/12/2021,22/05/2027,,
1694,203,Personal," 459,688.00 ",7.46,01/04/2024,02/03/2026,,
1262,203,Education," 459,515.00 ",6.64,13/01/2021,01/09/2029,,
1692,205,Education," 368,160.00 ",10.32,12/06/2022,23/10/2025,,
2476,206,Personal," 68,035.00 ",8.21,04/04/2022,18/12/2028,,
1046,207,Education," 238,689.00 ",4.89,08/01/2024,05/06/2027,,
1119,208,Education," 171,452.00 ",5.35,25/04/2024,14/06/2025,,
1552,210,Home," 64,774.00 ",5.14,01/09/2023,05/12/2027,,
1855,210,Personal," 5,701.00 ",9.04,22/02/2023,18/07/2029,,
1496,214,Car," 140,336.00 ",12.49,16/06/2022,27/11/2028,,
573,216,Home," 457,014.00 ",7.45,01/02/2021,14/07/2027,,
647,218,Personal," 105,034.00 ",8.19,05/11/2023,02/07/2029,,
994,219,Education," 464,739.00 ",12.44,20/06/2021,17/02/2026,,
210,223,Education," 3,968.00 ",2.55,27/08/2020,29/05/2025,,
951,225,Personal," 220,725.00 ",3.58,11/09/2023,29/07/2026,,
2299,229,Personal," 81,053.00 ",5.13,29/09/2021,27/06/2027,,
1722,232,Personal," 462,439.00 ",7.24,16/03/2021,19/09/2026,,
1641,233,Personal," 374,489.00 ",3.33,16/10/2021,26/10/2029,,
515,233,Education," 263,793.00 ",5.34,05/04/2024,11/07/2025,,
1384,234,Education," 305,987.00 ",8.21,16/05/2023,14/03/2029,,
869,236,Car," 200,197.00 ",10.36,16/04/2022,30/12/2027,,
1259,239,Education," 351,403.00 ",9.49,02/10/2023,28/02/2027,,
333,242,Car," 239,516.00 ",7.91,20/04/2023,21/07/2026,,
967,247,Education," 293,554.00 ",6.87,25/09/2020,16/01/2030,,
2169,247,Home," 207,742.00 ",5.6,18/09/2021,08/10/2025,,
1021,249,Education," 495,176.00 ",8.42,26/09/2022,22/06/2029,,
1747,252,Education," 356,408.00 ",5.55,12/05/2021,05/01/2027,,
508,252,Car," 97,442.00 ",12.42,22/09/2022,23/08/2027,,
1451,256,Education," 255,954.00 ",12.29,05/06/2020,13/12/2025,,
33,256,Personal," 152,491.00 ",3,12/11/2020,25/03/2028,,
356,256,Personal," 14,897.00 ",9.62,25/12/2022,16/07/2029,,
799,258,Education," 459,294.00 ",5.38,15/12/2021,07/04/2027,,
1937,262,Home," 427,645.00 ",7.74,18/11/2023,04/06/2026,,
505,264,Car," 168,803.00 ",4.79,16/09/2023,03/04/2030,,
931,267,Education," 306,387.00 ",10.85,15/03/2024,02/09/2028,,
948,270,Education," 263,234.00 ",11.33,04/09/2020,01/10/2028,,
403,270,Personal," 58,928.00 ",4.34,18/07/2021,22/05/2025,,
947,270,Car," 51,682.00 ",10.94,05/07/2021,17/09/2026,,
2398,271,Home," 171,619.00 ",10.83,26/02/2022,19/04/2027,,
1550,279,Car," 352,022.00 ",12.48,22/05/2020,25/11/2028,,
2202,284,Car," 457,876.00 ",3.79,18/11/2023,29/12/2027,,
2350,288,Education," 170,513.00 ",2.62,13/12/2020,23/01/2030,,
1171,289,Home," 268,321.00 ",5.12,08/12/2020,30/01/2026,,
5,290,Home," 8,997.00 ",7.1,26/03/2021,29/02/2028,,
364,292,Personal," 347,230.00 ",6.96,12/03/2024,14/06/2027,,
2232,298,Car," 310,358.00 ",6.23,21/12/2020,18/08/2026,,
637,306,Education," 158,744.00 ",5.47,06/09/2021,27/10/2029,,
2220,316,Car," 196,436.00 ",3.78,01/09/2022,13/03/2027,,
2094,318,Home," 452,170.00 ",4.41,29/05/2022,22/02/2027,,
176,319,Car," 114,315.00 ",9.01,21/05/2023,19/06/2026,,
645,320,Home," 120,597.00 ",2.96,06/07/2021,13/11/2028,,
430,323,Home," 126,814.00 ",7.99,16/01/2021,28/11/2025,,
755,324,Home," 347,131.00 ",12.35,05/02/2021,17/08/2028,,
206,324,Car," 174,421.00 ",7.22,20/12/2020,07/10/2025,,
1926,324,Personal," 172,391.00 ",10.48,13/01/2023,05/05/2030,,
1543,330,Education," 97,649.00 ",5.24,26/12/2021,14/04/2028,,
424,331,Personal," 478,229.00 ",7.59,24/07/2020,14/03/2030,,
704,331,Car," 222,632.00 ",12.11,04/11/2021,01/01/2028,,
2303,332,Car," 45,464.00 ",4.62,03/05/2023,15/04/2030,,
1824,333,Car," 154,867.00 ",5.15,14/08/2021,24/02/2029,,
2463,334,Home," 49,365.00 ",9.1,06/12/2021,05/06/2025,,
861,335,Home," 367,700.00 ",6.41,09/09/2022,17/06/2026,,
47,338,Personal," 97,582.00 ",8.08,05/04/2023,27/04/2026,,
1186,342,Personal," 433,227.00 ",3.83,03/09/2021,13/11/2028,,
457,342,Car," 107,369.00 ",11.39,20/11/2020,06/09/2029,,
2260,343,Car," 304,571.00 ",8.51,10/06/2023,19/12/2026,,
460,343,Home," 192,922.00 ",8.38,08/04/2022,19/10/2029,,
2477,344,Home," 340,455.00 ",6.2,13/02/2021,22/09/2027,,
2237,344,Car," 269,267.00 ",9.94,28/10/2020,17/11/2027,,
1531,344,Personal," 79,669.00 ",8.76,05/09/2023,17/10/2027,,
2009,344,Home," 76,182.00 ",4.2,16/09/2020,30/09/2028,,
1593,346,Education," 263,813.00 ",2.67,18/04/2021,21/03/2029,,
1486,348,Home," 328,135.00 ",7.54,03/01/2023,03/04/2028,,
2129,350,Education," 389,190.00 ",7.05,31/12/2020,15/06/2027,,
1201,350,Education," 386,413.00 ",4.53,15/06/2020,06/04/2029,,
1585,350,Education," 352,115.00 ",8.7,15/08/2021,25/01/2028,,
2058,352,Car," 15,949.00 ",5.22,13/01/2024,05/06/2028,,
1330,353,Education," 16,047.00 ",3.21,24/05/2022,23/09/2028,,
2175,354,Education," 343,635.00 ",3.39,08/10/2020,30/07/2029,,
1086,355,Car," 462,914.00 ",8.49,25/06/2021,22/02/2027,,
360,357,Home," 114,082.00 ",6.3,31/10/2020,26/03/2027,,
1809,360,Personal," 296,365.00 ",11.63,15/07/2020,09/07/2028,,
498,364,Car," 15,953.00 ",6.96,27/10/2023,28/01/2028,,
904,365,Car," 341,948.00 ",6.59,05/11/2021,21/02/2030,,
64,365,Education," 88,682.00 ",10.75,28/12/2021,18/12/2026,,
53,369,Car," 94,361.00 ",11.49,19/03/2021,21/12/2028,,
970,372,Car," 318,985.00 ",4.76,29/07/2022,05/05/2028,,
205,373,Car," 330,200.00 ",11.68,24/08/2020,04/04/2030,,
2454,375,Education," 467,594.00 ",12.11,29/04/2021,01/07/2028,,
211,378,Home," 224,689.00 ",6.24,11/05/2020,18/08/2025,,
312,381,Home," 373,491.00 ",3.93,31/07/2023,20/06/2028,,
1724,382,Car," 251,198.00 ",12.41,03/05/2024,16/04/2027,,
714,384,Home," 384,415.00 ",8.72,26/09/2022,25/03/2030,,
2419,386,Home," 177,417.00 ",4.96,06/07/2023,05/02/2029,,
2216,387,Car," 142,327.00 ",5.67,07/07/2021,31/12/2027,,
489,389,Education," 382,574.00 ",5.98,15/08/2020,19/06/2026,,
184,391,Car," 496,013.00 ",9.99,18/12/2022,06/07/2029,,
175,392,Home," 158,367.00 ",7.23,28/02/2022,29/05/2028,,
1727,393,Car," 131,778.00 ",10.51,25/10/2022,04/07/2028,,
1362,395,Car," 338,157.00 ",4.74,22/05/2022,10/06/2029,,
546,405,Personal," 451,388.00 ",5.37,26/01/2021,03/10/2029,,
1375,408,Home," 183,291.00 ",10.96,21/12/2022,29/07/2029,,
358,409,Home," 306,044.00 ",11.91,18/01/2021,18/01/2028,,
644,414,Car," 446,624.00 ",11.06,28/05/2020,12/01/2030,,
470,416,Home," 162,682.00 ",4.17,27/04/2024,18/04/2026,,
599,418,Personal," 494,643.00 ",8.76,28/11/2023,12/08/2025,,
1224,418,Car," 186,491.00 ",9.32,24/07/2023,24/12/2026,,
2287,419,Education," 394,910.00 ",4.98,23/02/2021,12/07/2025,,
44,422,Personal," 350,568.00 ",4.55,15/08/2023,10/01/2029,,
68,424,Home," 331,618.00 ",7.31,21/03/2021,13/12/2025,,
462,426,Car," 385,452.00 ",8.83,31/03/2021,24/10/2029,,
11,430,Home," 385,172.00 ",12.25,10/10/2023,12/05/2028,,
103,432,Home," 384,687.00 ",3.64,13/03/2023,15/05/2026,,
1893,435,Car," 105,023.00 ",4.48,14/06/2022,04/04/2027,,
2093,439,Personal," 198,512.00 ",8.53,13/10/2020,12/07/2028,,
1140,441,Home," 471,361.00 ",8.15,20/01/2021,17/01/2027,,
1280,441,Personal," 269,679.00 ",8.74,13/08/2021,22/12/2026,,
2167,442,Home," 245,415.00 ",4.67,09/04/2022,12/02/2026,,
1603,444,Personal," 377,122.00 ",2.82,28/09/2020,16/08/2025,,
261,444,Education," 196,865.00 ",8.24,26/07/2021,04/06/2027,,
1238,446,Education," 203,895.00 ",3.88,08/01/2022,26/04/2030,,
1319,448,Education," 196,524.00 ",12.17,09/09/2023,16/12/2027,,
1940,448,Car," 26,669.00 ",3.41,05/08/2022,10/07/2025,,
1425,453,Personal," 195,729.00 ",6.95,09/09/2022,04/10/2027,,
832,453,Car," 142,481.00 ",4.2,16/07/2020,24/02/2028,,
7,454,Car," 355,826.00 ",4.18,06/08/2022,12/06/2026,,
2000,454,Personal," 264,394.00 ",5.44,09/02/2021,17/10/2027,,
748,456,Home," 403,763.00 ",8.69,22/04/2022,28/12/2026,,
49,458,Education," 307,462.00 ",6.04,15/03/2023,10/12/2029,,
2208,460,Personal," 5,764.00 ",10.19,08/06/2023,24/06/2027,,
1547,462,Personal," 134,134.00 ",5.88,25/03/2024,01/04/2030,,
1078,469,Home," 372,951.00 ",7.87,26/10/2020,29/03/2026,,
1261,469,Home," 12,233.00 ",7.89,07/07/2022,16/04/2030,,
619,470,Home," 57,173.00 ",6.7,02/01/2023,15/10/2029,,
1101,476,Home," 24,574.00 ",2.96,22/08/2020,15/02/2026,,
17,478,Car," 285,526.00 ",9.27,21/11/2021,11/10/2027,,
1403,481,Education," 374,771.00 ",11.72,11/10/2022,25/09/2028,,
2432,493,Education," 119,324.00 ",8.8,28/04/2023,12/01/2027,,
1190,500,Car," 366,356.00 ",3.25,09/11/2020,19/03/2028,,
287,500,Education," 32,900.00 ",6.12,08/08/2021,23/06/2025,,
1178,501,Home," 132,079.00 ",4.99,01/01/2022,10/11/2026,,
950,502,Education," 339,443.00 ",2.59,25/08/2022,16/05/2026,,
562,503,Home," 417,717.00 ",10.05,07/01/2023,08/10/2027,,
1252,504,Car," 469,184.00 ",7.81,29/05/2022,27/06/2025,,
1688,505,Personal," 396,688.00 ",5.86,28/09/2023,07/01/2029,,
101,506,Car," 496,735.00 ",5.68,01/06/2022,21/05/2028,,
1678,508,Car," 269,882.00 ",12.43,20/12/2023,14/02/2026,,
1402,509,Personal," 324,206.00 ",2.74,02/12/2023,10/01/2029,,
257,509,Education," 53,218.00 ",3.89,04/10/2021,24/07/2029,,
1051,510,Home," 435,414.00 ",9.15,16/01/2024,27/08/2028,,
843,511,Education," 284,222.00 ",6.5,20/02/2024,21/06/2026,,
1257,512,Car," 427,351.00 ",10.3,02/01/2021,21/11/2025,,
1984,517,Home," 456,307.00 ",3.12,27/02/2023,15/01/2027,,
608,518,Car," 197,903.00 ",2.77,25/01/2024,29/04/2029,,
1369,519,Car," 42,426.00 ",8.83,07/11/2022,01/04/2028,,
38,519,Car," 15,600.00 ",4.97,14/02/2022,13/05/2025,,
1983,521,Personal," 162,920.00 ",10.39,08/05/2022,24/12/2029,,
945,522,Education," 335,885.00 ",5.55,28/05/2023,17/11/2027,,
1468,522,Personal," 186,973.00 ",11.89,16/12/2023,14/08/2027,,
1421,523,Home," 323,119.00 ",4.33,10/08/2021,10/05/2027,,
1007,524,Personal," 237,553.00 ",12.32,24/12/2022,16/12/2029,,
1480,526,Home," 344,404.00 ",4.06,31/12/2023,21/10/2029,,
245,527,Home," 400,915.00 ",11.76,05/06/2022,31/05/2027,,
137,527,Home," 234,378.00 ",2.99,20/04/2022,24/12/2025,,
1991,527,Education," 174,801.00 ",9.93,10/10/2023,25/08/2025,,
1615,527,Personal," 90,613.00 ",2.64,25/05/2020,07/12/2029,,
1640,528,Personal," 463,928.00 ",10.62,19/02/2022,23/09/2027,,
1759,530,Education," 220,218.00 ",3.28,13/07/2023,15/01/2026,,
995,536,Car," 91,377.00 ",4.16,18/02/2023,11/02/2027,,
1895,540,Personal," 207,328.00 ",11.83,06/11/2022,17/10/2029,,
734,541,Car," 337,626.00 ",5.97,05/02/2022,29/11/2027,,
1074,542,Education," 49,538.00 ",6,16/01/2021,10/06/2028,,
1068,543,Personal," 237,618.00 ",7.02,04/09/2023,03/07/2029,,
248,552,Personal," 496,724.00 ",11.76,16/10/2022,03/02/2030,,
1751,552,Education," 57,599.00 ",11.83,29/03/2021,01/02/2029,,
720,556,Education," 419,478.00 ",7.67,01/02/2022,01/04/2027,,
452,557,Education," 222,183.00 ",3.54,07/12/2023,13/06/2025,,
343,557,Education," 37,857.00 ",12.31,02/05/2021,09/03/2030,,
1041,563,Education," 303,887.00 ",4.64,03/04/2021,27/12/2029,,
1193,563,Personal," 183,393.00 ",3.1,06/12/2022,02/01/2027,,
2384,567,Personal," 221,579.00 ",4.49,09/03/2021,29/08/2028,,
1077,568,Car," 394,132.00 ",11.9,12/06/2021,25/06/2026,,
2340,573,Education," 159,886.00 ",12.45,04/10/2020,21/10/2028,,
2240,574,Car," 336,435.00 ",2.96,06/03/2021,10/08/2029,,
1499,574,Personal," 292,355.00 ",7.94,13/12/2023,30/04/2028,,
164,575,Education," 429,511.00 ",8.44,25/12/2022,07/08/2026,,
1025,575,Personal," 118,650.00 ",11.1,17/11/2022,08/04/2029,,
1659,575,Personal," 40,197.00 ",12.49,05/05/2024,20/07/2027,,
1172,577,Education," 31,058.00 ",7.09,15/10/2020,22/05/2026,,
1419,577,Education," 21,681.00 ",8.22,06/04/2023,02/06/2029,,
880,578,Personal," 415,549.00 ",7.6,04/10/2022,24/05/2027,,
1619,581,Home," 223,069.00 ",4.84,30/04/2021,23/05/2028,,
1551,581,Home," 80,917.00 ",8.8,25/06/2021,22/09/2027,,
2443,585,Personal," 110,717.00 ",3.94,15/10/2022,29/01/2027,,
1148,588,Home," 437,720.00 ",4.6,07/09/2022,05/03/2029,,
2046,588,Personal," 216,973.00 ",11.34,01/08/2023,02/02/2026,,
327,589,Home," 142,319.00 ",3.75,14/02/2024,16/02/2029,,
1091,591,Home," 81,324.00 ",3.46,16/12/2020,28/05/2027,,
1203,595,Home," 495,258.00 ",7.3,29/06/2020,02/09/2026,,
1658,595,Car," 198,996.00 ",4.68,09/12/2020,05/01/2027,,
1924,599,Home," 207,645.00 ",12.42,13/09/2023,25/04/2029,,
439,599,Home," 178,956.00 ",3.6,24/03/2024,28/08/2029,,
1226,600,Personal," 312,608.00 ",6.44,12/09/2023,22/11/2026,,
98,602,Education," 433,758.00 ",7.14,20/05/2022,04/04/2026,,
1883,604,Education," 86,364.00 ",10.12,31/03/2024,21/10/2025,,
1371,605,Home," 207,632.00 ",8.17,10/08/2021,02/11/2028,,
649,605,Car," 66,427.00 ",5.04,22/03/2022,17/09/2026,,
301,605,Car," 20,408.00 ",8.03,15/01/2024,02/02/2030,,
1320,609,Car," 195,791.00 ",5.53,17/10/2022,22/01/2027,,
1698,609,Car," 183,738.00 ",11.29,30/03/2024,02/09/2025,,
303,615,Personal," 471,256.00 ",5.48,25/06/2021,26/09/2027,,
750,615,Car," 13,930.00 ",4.19,13/04/2021,06/01/2030,,
1755,616,Education," 31,731.00 ",4.28,01/10/2020,19/09/2027,,
499,619,Car," 199,092.00 ",3.78,17/05/2021,22/05/2028,,
512,621,Personal," 54,099.00 ",3.29,29/09/2023,31/10/2026,,
2366,624,Home," 242,445.00 ",7.58,04/05/2021,04/09/2027,,
1559,628,Personal," 176,147.00 ",11.07,19/07/2023,02/03/2028,,
1282,634,Education," 275,651.00 ",10.9,15/03/2022,24/04/2027,,
1145,636,Home," 460,207.00 ",7.92,08/01/2023,13/08/2027,,
1202,638,Home," 138,519.00 ",6.41,02/06/2023,26/03/2026,,
556,641,Car," 40,625.00 ",3.18,16/11/2023,26/04/2030,,
1892,644,Car," 488,368.00 ",9.83,19/10/2020,17/01/2029,,
1838,647,Personal," 156,248.00 ",2.58,14/03/2021,08/10/2025,,
602,654,Education," 495,974.00 ",5.55,17/08/2022,10/05/2029,,
1569,660,Education," 188,798.00 ",10.87,16/07/2022,06/07/2028,,
1335,666,Education," 451,904.00 ",11.79,13/08/2022,23/02/2029,,
1307,666,Education," 21,646.00 ",11.02,24/06/2020,19/09/2027,,
1661,668,Education," 448,511.00 ",4.17,06/08/2021,27/07/2027,,
1643,669,Education," 72,838.00 ",8.62,07/12/2022,21/04/2029,,
706,675,Personal," 230,535.00 ",9.23,30/05/2022,30/11/2029,,
1901,679,Car," 468,638.00 ",4.4,08/08/2022,01/02/2026,,
1429,679,Car," 323,056.00 ",3.63,29/12/2020,12/01/2029,,
2381,681,Personal," 446,216.00 ",3.3,30/01/2023,13/02/2029,,
2119,682,Home," 446,707.00 ",5.07,28/01/2021,02/03/2030,,
215,683,Car," 326,368.00 ",2.89,14/04/2022,24/02/2028,,
2453,685,Personal," 449,534.00 ",9.79,29/07/2021,08/02/2030,,
2207,685,Personal," 313,476.00 ",5.85,06/09/2023,11/02/2028,,
836,686,Education," 16,874.00 ",2.69,14/04/2021,10/07/2028,,
1264,688,Education," 110,642.00 ",11.68,01/11/2020,05/02/2028,,
1380,690,Home," 116,291.00 ",10.58,10/08/2021,23/07/2028,,
339,691,Personal," 15,211.00 ",3.53,11/07/2022,19/11/2025,,
892,692,Education," 182,102.00 ",6.83,03/07/2023,09/01/2030,,
1408,694,Education," 349,878.00 ",9.2,30/10/2021,05/02/2030,,
591,697,Car," 210,505.00 ",5.49,11/12/2023,17/02/2027,,
2189,700,Education," 281,536.00 ",3.5,27/05/2021,30/03/2029,,
389,709,Education," 362,010.00 ",7.23,30/04/2024,03/01/2027,,
1113,710,Car," 260,452.00 ",7.45,16/11/2022,23/06/2028,,
2263,712,Car," 375,387.00 ",6.58,07/09/2021,19/04/2027,,
171,713,Home," 69,176.00 ",3.16,19/03/2021,31/08/2029,,
867,716,Car," 100,479.00 ",9.74,14/08/2020,12/10/2029,,
2324,717,Car," 429,834.00 ",3.82,30/07/2020,27/12/2026,,
955,717,Education," 394,273.00 ",4.66,10/01/2023,26/02/2026,,
1430,722,Car," 429,160.00 ",7.75,15/05/2020,07/07/2027,,
1757,726,Car," 347,292.00 ",9.04,11/12/2020,17/09/2026,,
95,727,Education," 226,341.00 ",11.54,19/08/2020,16/04/2029,,
2023,728,Education," 445,074.00 ",6.95,20/12/2021,18/03/2030,,
969,730,Home," 218,704.00 ",3.48,04/05/2023,14/04/2027,,
433,732,Education," 319,826.00 ",9.35,27/09/2023,13/12/2027,,
2171,734,Car," 90,722.00 ",11.37,31/01/2021,10/05/2026,,
1898,735,Personal," 381,526.00 ",8,27/12/2023,03/10/2028,,
2278,739,Home," 123,065.00 ",3.42,01/07/2021,25/09/2026,,
1465,741,Car," 290,536.00 ",8.89,09/08/2023,10/04/2030,,
817,742,Personal," 403,711.00 ",11.36,11/02/2022,12/12/2025,,
382,742,Home," 156,523.00 ",10.23,13/05/2021,30/12/2028,,
1600,744,Education," 4,529.00 ",11.3,23/01/2022,20/08/2027,,
610,747,Car," 346,960.00 ",9.28,05/10/2021,12/02/2026,,
2085,749,Personal," 368,036.00 ",12.36,25/05/2021,26/05/2029,,
1196,755,Personal," 222,326.00 ",4.62,09/11/2022,19/05/2028,,
83,757,Personal," 262,106.00 ",9.86,20/12/2022,09/04/2029,,
1939,763,Education," 224,949.00 ",12.03,06/06/2022,15/05/2025,,
510,763,Personal," 195,012.00 ",3.93,12/09/2023,21/03/2028,,
992,764,Car," 266,517.00 ",10.27,23/01/2023,27/03/2029,,
266,764,Home," 199,643.00 ",7.73,13/07/2021,16/02/2029,,
557,764,Home," 18,636.00 ",2.68,27/04/2021,15/02/2030,,
2134,765,Car," 84,850.00 ",7.99,30/07/2023,27/08/2027,,
855,765,Education," 74,592.00 ",7.1,17/07/2023,11/08/2025,,
554,766,Car," 248,169.00 ",8.77,15/11/2021,01/04/2028,,
952,766,Home," 162,313.00 ",9.62,06/07/2021,19/11/2025,,
1276,771,Home," 95,575.00 ",7.7,14/05/2022,15/11/2029,,
1414,774,Home," 222,115.00 ",5.36,14/03/2024,25/09/2029,,
1877,774,Education," 115,764.00 ",9.98,05/12/2023,23/11/2028,,
