CallID,CustomerID,CallDate,IssueType,Resolved
133,3576,2024-05-17,Card Issue,No
134,2377,2025-01-14,Transaction Dispute,Yes
135,4008,2024-11-17,Transaction Dispute,No
136,1026,2024-06-12,Account Access,Yes
137,2778,2024-08-03,Account Access,Yes
138,1071,2024-11-12,Transaction Dispute,Yes
139,3988,2025-01-24,Transaction Dispute,Yes
140,2719,2024-06-10,Transaction Dispute,No
141,4551,2024-11-22,Loan Query,No
142,4794,2025-03-04,Card Issue,Yes
143,4996,2025-04-19,Loan Query,Yes
144,3510,2025-05-09,Card Issue,Yes
145,3065,2024-07-30,Transaction Dispute,No
146,2690,2025-05-06,Card Issue,Yes
147,3154,2024-06-28,Transaction Dispute,Yes
148,1569,2024-10-23,Account Access,Yes
149,2617,2025-04-24,Transaction Dispute,No
150,2059,2024-11-30,Loan Query,No
151,1789,2024-11-01,Card Issue,No
152,1390,2025-02-28,Account Access,No
153,436,2024-10-15,Account Access,No
154,3328,2024-11-17,Loan Query,No
155,852,2025-03-06,Transaction Dispute,No
156,1876,2025-02-09,Transaction Dispute,Yes
157,3105,2025-01-19,Account Access,No
158,34,2024-06-04,Transaction Dispute,Yes
159,4545,2024-10-23,Transaction Dispute,Yes
160,3131,2025-02-10,Account Access,Yes
161,93,2025-02-13,Account Access,No
162,900,2025-02-20,Transaction Dispute,Yes
163,2570,2024-06-19,Card Issue,No
164,4528,2025-03-25,Loan Query,Yes
165,4042,2025-04-03,Card Issue,No
166,980,2025-03-02,Account Access,Yes
167,2266,2024-10-24,Transaction Dispute,Yes
168,1088,2024-07-13,Loan Query,No
169,146,2025-03-27,Loan Query,Yes
170,3151,2024-12-24,Transaction Dispute,Yes
171,625,2024-09-03,Loan Query,No
172,4758,2024-10-29,Loan Query,No
173,748,2024-07-19,Loan Query,Yes
174,3979,2024-05-16,Card Issue,No
175,933,2024-10-18,Loan Query,No
176,2791,2024-07-27,Card Issue,No
177,3467,2025-03-30,Loan Query,Yes
178,553,2024-07-10,Loan Query,Yes
179,2929,2024-12-14,Card Issue,No
180,3523,2025-02-09,Loan Query,Yes
181,2243,2024-09-20,Loan Query,No
182,3313,2024-09-28,Card Issue,No
183,709,2024-06-30,Card Issue,No
184,2670,2024-08-18,Account Access,Yes
185,1159,2024-11-26,Account Access,No
186,3833,2024-07-20,Account Access,No
187,804,2025-05-07,Loan Query,No
188,2782,2024-10-22,Transaction Dispute,Yes
189,41,2024-10-01,Card Issue,Yes
190,2510,2025-03-14,Account Access,No
191,958,2025-05-01,Account Access,Yes
192,2760,2024-12-10,Loan Query,Yes
193,2085,2024-08-28,Card Issue,Yes
194,3395,2024-08-19,Card Issue,Yes
195,1712,2025-02-27,Card Issue,Yes
196,3490,2024-06-02,Account Access,Yes
197,4500,2024-12-12,Account Access,Yes
198,1786,2025-02-14,Account Access,No
199,2246,2024-09-02,Transaction Dispute,No
200,1735,2024-07-13,Account Access,Yes
201,4756,2024-07-31,Transaction Dispute,Yes
202,1677,2024-10-07,Card Issue,No
203,1516,2024-09-06,Loan Query,No
204,3856,2024-12-19,Card Issue,No
205,2080,2025-04-16,Account Access,Yes
206,4460,2024-12-15,Transaction Dispute,Yes
207,1470,2025-04-20,Loan Query,Yes
208,2131,2024-06-27,Account Access,No
209,3010,2025-03-13,Card Issue,No
210,1809,2024-12-28,Loan Query,Yes
211,1378,2024-11-24,Loan Query,No
212,443,2024-06-15,Loan Query,Yes
213,4972,2025-05-01,Account Access,No
214,806,2024-07-20,Card Issue,Yes
215,3258,2024-10-09,Account Access,Yes
216,3844,2024-11-01,Card Issue,Yes
217,1844,2024-05-22,Card Issue,Yes
218,786,2024-07-18,Loan Query,No
219,2467,2025-01-25,Account Access,No
220,1727,2024-06-20,Transaction Dispute,No
221,2210,2024-12-18,Loan Query,Yes
222,2679,2024-10-31,Transaction Dispute,No
223,2877,2025-03-06,Transaction Dispute,Yes
224,1432,2024-06-13,Card Issue,Yes
225,2011,2024-11-14,Account Access,Yes
226,4107,2024-11-11,Transaction Dispute,Yes
227,3741,2024-09-01,Transaction Dispute,No
228,2904,2024-05-30,Account Access,Yes
229,2926,2025-02-11,Transaction Dispute,Yes
230,3103,2025-01-22,Account Access,Yes
231,1773,2025-02-14,Account Access,No
232,4061,2024-09-24,Loan Query,No
233,2672,2024-08-23,Account Access,No
234,1386,2024-11-03,Loan Query,Yes
235,2893,2025-02-17,Transaction Dispute,Yes
236,3460,2025-05-07,Account Access,Yes
237,4818,2024-11-11,Card Issue,Yes
238,2153,2024-07-03,Account Access,No
239,4681,2024-11-10,Account Access,Yes
240,2171,2025-02-23,Card Issue,Yes
241,1568,2024-10-14,Transaction Dispute,Yes
242,793,2024-05-31,Account Access,Yes
243,1098,2025-03-26,Loan Query,No
244,3993,2025-02-26,Loan Query,No
245,4986,2025-03-27,Transaction Dispute,No
246,3315,2024-05-24,Card Issue,No
247,2009,2024-12-27,Account Access,Yes
248,1713,2024-12-14,Account Access,Yes
249,4130,2024-12-05,Loan Query,Yes
250,998,2025-04-24,Transaction Dispute,No
251,1730,2025-01-11,Transaction Dispute,No
252,4761,2024-11-16,Card Issue,No
253,2149,2024-07-20,Transaction Dispute,Yes
254,466,2024-11-25,Card Issue,No
255,3863,2024-12-04,Card Issue,Yes
256,3034,2024-07-06,Loan Query,Yes
257,1510,2024-05-24,Card Issue,No
258,4824,2024-10-31,Card Issue,Yes
259,952,2024-09-10,Loan Query,Yes
260,1272,2025-03-08,Card Issue,Yes
261,4506,2024-06-17,Account Access,No
262,2021,2024-08-30,Loan Query,No
263,3369,2024-12-09,Loan Query,No
264,203,2024-12-14,Transaction Dispute,Yes
265,2543,2025-03-03,Transaction Dispute,No
266,3666,2024-12-15,Card Issue,No
267,2874,2025-03-28,Transaction Dispute,Yes
268,4875,2024-08-06,Card Issue,No
269,292,2025-04-01,Transaction Dispute,Yes
270,1806,2025-04-02,Transaction Dispute,Yes
271,3193,2024-06-17,Transaction Dispute,Yes
272,3574,2024-08-25,Card Issue,No
273,3290,2024-08-31,Account Access,No
274,3867,2024-09-19,Transaction Dispute,No
275,4158,2025-01-27,Transaction Dispute,No
276,1047,2024-07-05,Transaction Dispute,No
277,4062,2025-03-07,Card Issue,No
278,4496,2024-12-23,Transaction Dispute,Yes
279,2030,2024-10-12,Loan Query,No
280,3357,2024-08-30,Card Issue,Yes
281,2088,2024-12-29,Loan Query,Yes
282,2334,2024-09-29,Transaction Dispute,Yes
283,3249,2024-06-25,Transaction Dispute,Yes
284,3277,2024-09-01,Card Issue,Yes
285,3188,2025-03-28,Transaction Dispute,Yes
286,856,2024-12-24,Account Access,Yes
287,2657,2025-03-08,Account Access,No
288,2375,2024-10-08,Card Issue,No
289,3674,2024-07-29,Account Access,Yes
290,2214,2024-10-21,Account Access,Yes
291,1930,2025-03-05,Loan Query,Yes
292,881,2024-08-27,Card Issue,Yes
293,4720,2024-12-13,Loan Query,No
294,2474,2025-03-12,Account Access,No
295,1230,2024-08-29,Card Issue,No
296,1661,2025-04-14,Transaction Dispute,Yes
297,3028,2024-12-29,Card Issue,Yes
298,3780,2024-11-02,Loan Query,No
299,2933,2024-06-26,Account Access,No
300,1117,2025-02-07,Account Access,Yes
301,1890,2024-06-14,Transaction Dispute,Yes
302,760,2024-12-01,Transaction Dispute,No
303,4508,2024-11-27,Loan Query,Yes
304,517,2025-02-27,Account Access,Yes
305,2448,2024-07-05,Loan Query,No
306,788,2024-09-11,Transaction Dispute,No
307,487,2025-03-31,Transaction Dispute,Yes
308,1238,2024-11-10,Card Issue,Yes
309,3003,2025-02-08,Card Issue,Yes
310,905,2025-03-27,Account Access,Yes
311,4250,2024-11-04,Loan Query,No
312,1870,2025-01-23,Loan Query,Yes
313,2842,2024-08-23,Loan Query,No
314,3830,2024-08-27,Loan Query,Yes
315,4502,2024-09-15,Loan Query,Yes
316,1764,2024-12-07,Account Access,No
317,4136,2024-06-15,Loan Query,Yes
318,4561,2025-02-05,Account Access,No
319,4611,2024-06-07,Card Issue,Yes
320,4797,2024-07-26,Card Issue,Yes
321,3552,2025-02-02,Transaction Dispute,Yes
322,4797,2024-06-07,Loan Query,No
323,2500,2024-12-13,Account Access,Yes
324,3881,2024-06-17,Card Issue,Yes
325,2361,2025-03-29,Transaction Dispute,Yes
326,4779,2025-04-07,Account Access,Yes
327,1505,2024-08-14,Transaction Dispute,No
328,3918,2024-11-24,Loan Query,No
329,2219,2024-07-12,Card Issue,No
330,3106,2024-10-31,Card Issue,No
331,2294,2024-11-14,Card Issue,No
332,3679,2025-05-05,Transaction Dispute,No
333,2523,2025-04-25,Account Access,No
334,1621,2024-11-25,Transaction Dispute,Yes
335,3614,2025-04-11,Card Issue,No
336,1320,2024-10-14,Transaction Dispute,Yes
337,1289,2024-11-08,Card Issue,Yes
338,2859,2025-01-28,Transaction Dispute,No
339,3504,2025-02-02,Account Access,No
340,4243,2024-09-07,Account Access,No
341,748,2025-01-20,Card Issue,No
342,1115,2024-11-16,Loan Query,No
343,2003,2024-11-08,Account Access,No
344,3401,2024-08-06,Transaction Dispute,Yes
345,2703,2025-03-11,Card Issue,No
346,4317,2025-02-11,Card Issue,Yes
347,4626,2025-03-20,Transaction Dispute,No
348,4240,2025-04-17,Transaction Dispute,No
349,274,2024-08-19,Transaction Dispute,Yes
350,4312,2024-05-30,Account Access,No
351,3887,2024-06-15,Loan Query,Yes
352,4778,2024-06-18,Card Issue,No
353,4954,2024-08-22,Transaction Dispute,No
354,4102,2024-10-12,Transaction Dispute,No
355,144,2024-11-22,Account Access,No
356,696,2024-12-01,Loan Query,Yes
357,1699,2025-01-11,Account Access,No
358,3362,2024-10-23,Account Access,Yes
359,1562,2025-05-04,Account Access,Yes
360,4018,2025-02-04,Loan Query,Yes
361,4498,2024-10-01,Card Issue,Yes
362,1072,2024-10-26,Card Issue,Yes
363,1541,2024-11-14,Transaction Dispute,Yes
364,4231,2025-01-01,Account Access,Yes
365,2962,2024-11-13,Card Issue,No
366,2664,2024-06-05,Account Access,Yes
367,951,2024-12-08,Loan Query,No
368,3481,2025-01-05,Account Access,No
369,2990,2024-08-02,Loan Query,Yes
370,377,2024-09-18,Card Issue,No
371,2935,2025-04-07,Card Issue,Yes
372,2116,2024-08-08,Account Access,No
373,3157,2024-09-01,Loan Query,No
374,4093,2025-02-24,Loan Query,No
375,2171,2024-11-30,Transaction Dispute,Yes
376,2211,2025-04-27,Account Access,No
377,3853,2024-08-12,Account Access,Yes
378,2854,2025-02-03,Account Access,Yes
379,3375,2024-09-24,Transaction Dispute,No
380,1086,2024-07-25,Account Access,Yes
381,2516,2024-10-24,Loan Query,Yes
382,1543,2024-06-19,Account Access,No
383,4272,2024-11-17,Loan Query,No
384,4316,2024-08-22,Account Access,No
385,4391,2025-03-23,Account Access,No
386,4859,2025-03-16,Loan Query,Yes
387,3159,2024-05-21,Card Issue,Yes
388,30,2024-06-22,Loan Query,Yes
389,2787,2024-09-29,Loan Query,Yes
390,2107,2024-06-28,Loan Query,No
391,117,2024-09-15,Transaction Dispute,Yes
392,4328,2025-04-15,Loan Query,No
393,3769,2025-01-13,Card Issue,No
394,1781,2024-06-08,Transaction Dispute,Yes
395,2243,2024-08-06,Transaction Dispute,No
396,492,2024-10-27,Account Access,No
397,3636,2024-09-05,Loan Query,No
398,4200,2024-12-05,Transaction Dispute,No
399,2541,2024-07-15,Account Access,No
400,3293,2024-12-07,Card Issue,No
401,1696,2025-01-26,Account Access,Yes
402,3814,2024-09-26,Card Issue,Yes
403,3559,2025-02-05,Account Access,No
404,1185,2025-03-15,Loan Query,No
405,1916,2024-06-07,Transaction Dispute,No
406,3419,2024-10-14,Account Access,No
407,3808,2024-06-30,Transaction Dispute,No
408,4695,2025-02-24,Loan Query,No
409,1732,2024-10-01,Account Access,No
410,2122,2024-11-19,Transaction Dispute,No
411,1281,2024-08-13,Loan Query,Yes
412,3958,2024-10-30,Card Issue,No
413,1050,2025-01-26,Transaction Dispute,Yes
414,1378,2024-05-22,Transaction Dispute,No
415,4342,2024-08-18,Loan Query,Yes
416,3933,2024-11-30,Loan Query,Yes
417,4896,2024-07-27,Loan Query,No
418,1995,2025-01-13,Loan Query,Yes
419,2258,2024-06-03,Account Access,Yes
420,4064,2025-02-19,Account Access,No
421,3617,2024-12-26,Account Access,Yes
422,413,2024-07-09,Transaction Dispute,Yes
423,3206,2024-09-12,Loan Query,Yes
424,2326,2025-05-01,Account Access,Yes
425,899,2024-07-02,Account Access,Yes
426,1132,2024-06-22,Transaction Dispute,Yes
427,4009,2025-02-19,Account Access,Yes
428,1405,2024-06-27,Account Access,No
429,2947,2025-03-20,Account Access,No
430,886,2024-10-04,Card Issue,No
431,3049,2024-06-12,Loan Query,No
432,2499,2024-08-15,Transaction Dispute,Yes
433,2624,2024-11-26,Card Issue,Yes
434,2158,2024-09-22,Account Access,Yes
435,3019,2024-07-12,Loan Query,No
436,1524,2024-06-26,Loan Query,No
437,4944,2024-08-15,Transaction Dispute,Yes
438,3261,2025-01-02,Account Access,Yes
439,3291,2025-04-12,Transaction Dispute,No
440,2785,2024-06-06,Account Access,No
441,3493,2025-04-21,Loan Query,Yes
442,1605,2024-07-19,Loan Query,No
443,3037,2024-09-23,Transaction Dispute,No
444,974,2025-02-10,Loan Query,Yes
445,1289,2025-01-17,Loan Query,No
446,1316,2024-08-14,Account Access,Yes
447,3614,2025-01-21,Account Access,No
448,1654,2024-08-13,Transaction Dispute,No
449,3788,2024-07-17,Account Access,No
450,2221,2024-11-15,Transaction Dispute,Yes
451,1038,2024-10-19,Transaction Dispute,No
452,3740,2025-04-19,Loan Query,Yes
453,3450,2025-03-31,Loan Query,No
454,2971,2024-12-07,Account Access,No
455,1928,2024-12-26,Account Access,Yes
456,977,2024-06-06,Card Issue,No
457,1296,2024-12-18,Loan Query,Yes
458,1484,2024-10-27,Transaction Dispute,Yes
459,150,2025-04-24,Transaction Dispute,No
460,4700,2025-01-29,Transaction Dispute,No
461,731,2024-06-24,Card Issue,Yes
462,4579,2024-10-19,Account Access,Yes
463,4732,2025-03-16,Card Issue,No
464,4216,2024-07-07,Account Access,No
465,1451,2025-03-23,Loan Query,Yes
466,2697,2024-06-01,Card Issue,No
467,1915,2025-05-02,Transaction Dispute,Yes
468,603,2025-05-02,Account Access,Yes
469,2941,2024-09-28,Transaction Dispute,No
470,2292,2024-11-26,Account Access,Yes
471,2839,2024-12-13,Card Issue,No
472,345,2024-07-17,Account Access,Yes
473,2331,2024-06-27,Account Access,Yes
474,646,2025-03-08,Transaction Dispute,No
475,978,2025-04-25,Card Issue,Yes
476,1006,2025-01-06,Loan Query,Yes
477,2150,2024-09-10,Card Issue,No
478,842,2024-11-13,Card Issue,Yes
479,2159,2024-11-02,Card Issue,Yes
480,1486,2024-10-08,Transaction Dispute,Yes
481,3933,2024-07-05,Transaction Dispute,Yes
482,3215,2024-07-28,Loan Query,Yes
483,1697,2024-05-13,Transaction Dispute,Yes
484,2433,2024-08-24,Loan Query,Yes
485,2315,2024-11-15,Card Issue,No
486,335,2024-09-02,Transaction Dispute,Yes
487,1781,2025-03-28,Transaction Dispute,No
488,3493,2025-01-11,Card Issue,No
489,3400,2024-11-01,Account Access,Yes
490,1859,2024-10-09,Card Issue,No
491,4920,2025-04-26,Loan Query,No
492,3949,2025-04-03,Card Issue,No
493,2225,2025-02-19,Card Issue,No
494,2791,2025-01-18,Loan Query,No
495,2921,2025-02-15,Transaction Dispute,Yes
496,4257,2024-09-14,Account Access,No
497,4017,2024-07-24,Transaction Dispute,No
498,4648,2024-05-18,Loan Query,Yes
499,2374,2025-01-26,Card Issue,No
500,3829,2025-04-07,Card Issue,Yes
501,1807,2024-10-03,Loan Query,No
502,4245,2025-05-10,Account Access,Yes
503,2838,2024-12-22,Transaction Dispute,Yes
504,3968,2025-01-11,Loan Query,Yes
505,2927,2025-04-18,Transaction Dispute,No
506,4943,2024-08-18,Transaction Dispute,Yes
507,155,2024-07-30,Account Access,Yes
508,3941,2024-06-09,Loan Query,No
509,1600,2024-08-01,Account Access,Yes
510,4902,2024-12-02,Account Access,Yes
511,1044,2024-09-10,Account Access,No
512,4847,2024-05-18,Loan Query,No
513,1947,2024-05-31,Transaction Dispute,No
514,2433,2024-12-14,Transaction Dispute,Yes
515,2457,2024-12-12,Card Issue,Yes
516,3245,2024-07-21,Account Access,No
517,1438,2024-12-16,Loan Query,No
518,1096,2024-05-23,Card Issue,Yes
519,3643,2024-11-03,Card Issue,No
520,3633,2025-03-01,Card Issue,No
521,1361,2024-06-21,Card Issue,No
522,2327,2024-10-26,Account Access,No
523,2794,2024-05-15,Transaction Dispute,Yes
524,28,2025-02-16,Account Access,No
525,3177,2024-10-26,Card Issue,Yes
526,2250,2024-09-24,Card Issue,No
527,4951,2024-06-07,Card Issue,No
528,3648,2024-09-30,Account Access,No
529,1349,2024-10-29,Account Access,Yes
530,515,2025-04-16,Card Issue,No
531,2761,2024-06-08,Transaction Dispute,Yes
532,1218,2025-05-11,Card Issue,Yes
533,3925,2024-08-28,Account Access,Yes
534,625,2024-05-30,Loan Query,No
535,3807,2025-01-20,Card Issue,Yes
536,1162,2024-08-13,Loan Query,Yes
537,1825,2025-02-22,Card Issue,Yes
538,2303,2025-02-24,Account Access,Yes
539,2714,2024-06-04,Card Issue,No
540,1727,2024-07-08,Transaction Dispute,No
541,2527,2024-06-01,Loan Query,No
542,3125,2025-02-23,Account Access,Yes
543,565,2025-02-21,Card Issue,No
544,754,2025-02-11,Loan Query,No
545,4040,2024-05-14,Account Access,Yes
546,4040,2024-09-14,Account Access,Yes
547,1596,2024-07-09,Transaction Dispute,Yes
548,3443,2024-12-30,Account Access,Yes
549,3955,2025-04-09,Loan Query,No
550,3839,2024-10-26,Loan Query,No
551,1838,2024-10-27,Loan Query,Yes
552,1528,2025-05-09,Card Issue,Yes
553,4960,2024-09-01,Transaction Dispute,Yes
554,3413,2024-08-09,Transaction Dispute,Yes
555,120,2025-03-28,Transaction Dispute,No
556,1270,2024-07-05,Card Issue,No
557,4802,2025-04-10,Transaction Dispute,No
558,3873,2025-01-06,Card Issue,No
559,1364,2025-02-13,Transaction Dispute,Yes
560,4580,2025-04-29,Transaction Dispute,Yes
561,1167,2025-05-08,Card Issue,Yes
562,764,2025-01-24,Transaction Dispute,Yes
563,117,2024-06-01,Transaction Dispute,No
564,2627,2024-09-24,Transaction Dispute,No
565,1037,2025-04-23,Transaction Dispute,Yes
566,3623,2024-12-02,Account Access,Yes
567,535,2025-01-31,Account Access,No
568,3418,2024-05-23,Account Access,Yes
569,1743,2025-04-21,Account Access,No
570,1514,2025-04-30,Card Issue,Yes
571,3080,2024-06-20,Loan Query,No
572,646,2024-09-08,Card Issue,Yes
573,2991,2024-05-19,Account Access,Yes
574,4515,2024-12-10,Card Issue,No
575,4065,2025-01-22,Account Access,Yes
576,3321,2024-10-07,Loan Query,No
577,2119,2024-08-15,Card Issue,Yes
578,4315,2024-11-24,Card Issue,Yes
579,4066,2025-01-12,Account Access,Yes
580,22,2024-08-19,Card Issue,Yes
581,874,2024-05-11,Transaction Dispute,Yes
582,4665,2024-12-02,Transaction Dispute,No
583,981,2025-03-07,Account Access,Yes
584,4620,2024-08-24,Account Access,No
585,2491,2024-07-19,Card Issue,No
586,893,2025-02-18,Transaction Dispute,Yes
587,1719,2024-06-22,Card Issue,No
588,820,2024-12-16,Loan Query,No
589,291,2025-03-11,Transaction Dispute,Yes
590,4116,2024-09-10,Loan Query,Yes
591,4797,2025-04-02,Loan Query,Yes
592,1480,2025-02-15,Account Access,Yes
593,317,2024-08-14,Loan Query,Yes
594,1020,2025-03-10,Account Access,Yes
595,1494,2024-07-06,Card Issue,No
596,4899,2024-12-07,Transaction Dispute,No
597,2110,2025-04-20,Account Access,Yes
598,2584,2024-05-28,Card Issue,No
599,3550,2024-08-06,Account Access,No
600,260,2025-04-07,Account Access,Yes
601,108,2024-09-06,Loan Query,Yes
602,3476,2024-09-04,Account Access,No
603,4398,2025-03-29,Account Access,Yes
604,2736,2025-01-04,Card Issue,Yes
605,2197,2024-12-24,Loan Query,No
606,1817,2025-04-09,Loan Query,No
607,600,2024-07-28,Card Issue,Yes
608,4121,2025-02-17,Account Access,No
609,3212,2024-07-18,Transaction Dispute,No
610,3420,2024-07-19,Transaction Dispute,Yes
611,952,2025-04-26,Account Access,No
612,1258,2024-10-16,Loan Query,Yes
613,395,2025-02-10,Account Access,No
614,2193,2024-06-21,Account Access,No
615,3657,2025-03-12,Loan Query,Yes
616,3241,2025-02-05,Card Issue,Yes
617,2427,2025-01-16,Account Access,Yes
618,4404,2024-07-16,Account Access,Yes
619,2391,2024-08-21,Account Access,Yes
620,4837,2025-03-07,Loan Query,Yes
621,3457,2024-10-03,Transaction Dispute,No
622,4247,2025-05-09,Account Access,Yes
623,2873,2024-10-18,Account Access,No
624,4171,2024-10-24,Account Access,Yes
625,1499,2024-06-11,Transaction Dispute,Yes
626,4164,2025-04-25,Account Access,No
627,1212,2024-10-25,Account Access,Yes
628,2050,2025-04-10,Transaction Dispute,Yes
629,429,2024-11-27,Account Access,Yes
630,1885,2024-05-26,Transaction Dispute,Yes
631,4490,2025-04-26,Card Issue,Yes
632,653,2024-12-17,Account Access,No
633,275,2024-05-28,Loan Query,Yes
634,1211,2024-10-11,Account Access,No
635,2632,2024-09-05,Card Issue,No
636,3827,2024-09-24,Account Access,Yes
637,4089,2024-05-24,Account Access,No
638,4439,2024-11-14,Card Issue,No
639,671,2024-09-09,Card Issue,No
640,1091,2024-08-12,Transaction Dispute,Yes
641,852,2024-06-10,Card Issue,No
642,611,2024-10-15,Transaction Dispute,No
643,2522,2025-02-14,Account Access,Yes
644,1945,2024-09-16,Card Issue,No
645,900,2025-05-03,Transaction Dispute,No
646,394,2025-04-24,Loan Query,No
647,1643,2024-08-01,Card Issue,No
648,4922,2024-09-14,Loan Query,Yes
649,4310,2024-09-11,Account Access,Yes
650,4772,2024-10-28,Account Access,Yes
651,2286,2024-07-15,Transaction Dispute,Yes
652,3964,2025-01-28,Account Access,Yes
653,2082,2024-11-11,Transaction Dispute,No
654,2181,2025-01-12,Loan Query,No
655,3807,2025-01-19,Loan Query,No
